,description,book_id
10,"
Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are
Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.Each essay reveals deep insights into the impulses of the human heart and mind. The Chicago Post said of The Prophet: “Cadenced and vibrant with feeling, the words of Kahlil Gibran bring to one’s ears the majestic rhythm of Ecclesiastes . . . If there is a man or woman who can read this book without a quiet acceptance of a great man’s philosophy and a singing in the heart as of music born within, that man or woman is indeed dead to life and truth.”With twelve full-page drawings by Gibran, this beautiful work makes an incredible gift for anyone seeking enlightenment and inspiration.
...more
",286
11,"
Drawing on masses of new and rediscovered material, the authors describe Gibran's boyhood in Lebanon, his family's impoverished years in turn-of-the century Boston, and his eventual friendship with that city's intellectual and artistic elite.
",288
12,"
Exquisite writings on love, marriage, and the spiritual union of souls add a fresh dimension to our understanding of the philosophy of love and the transformation of one's life through its all-encompassing power.
",289
13,"
Here Jesus is portrayed through the words of 77 contemporaries who knew him - enemies and friends: Syrians, Romans, Jews, priests, and poets. This edition restores the original format with 2 paintings and 12 drawings.
",290
14,"
This is the exquisitely tender story of love that beats desperately against the taboos of Oriental tradition. With great sensitivity, Gibran describes his passion as a youth for Selma Karamy, the girl of Beirut who first unfolded to him the secrets of love. But it is a love that is doomed by a social convention which forces Selma into marriage with another man. Portraying
This is the exquisitely tender story of love that beats desperately against the taboos of Oriental tradition. With great sensitivity, Gibran describes his passion as a youth for Selma Karamy, the girl of Beirut who first unfolded to him the secrets of love. But it is a love that is doomed by a social convention which forces Selma into marriage with another man. Portraying the happiness and infinite sorrow of his relationship with Selma, Gibran at the same time probes the spiritual meaning of human existence with profound compassion. **Lightning Print On Demand Title
...more
",291
15,"
A book of aphorisms, poems, and parables by the author of ""The Prophet"" - a philosopher at his window commenting on the scene passing below.
",292
16,"
Dimensions: 18x12 cm
",293
17,"
""For sheer storytelling delight and pure adventure, Treasure Island has never been surpassed. From the moment young Jim Hawkins first encounters the sinister Blind Pew at the Admiral Benbow Inn until the climactic battle for treasure on a tropic isle, the novel creates scenes and characters that have fired the imaginations of generations of readers. Written by a superb
""For sheer storytelling delight and pure adventure, Treasure Island has never been surpassed. From the moment young Jim Hawkins first encounters the sinister Blind Pew at the Admiral Benbow Inn until the climactic battle for treasure on a tropic isle, the novel creates scenes and characters that have fired the imaginations of generations of readers. Written by a superb prose stylist, a master of both action and atmosphere, the story centers upon the conflict between good and evil - but in this case a particularly engaging form of evil. It is the villainy of that most ambiguous rogue Long John Silver that sets the tempo of this tale of treachery, greed, and daring. Designed to forever kindle a dream of high romance and distant horizons, Treasure Island is, in the words of G. K. Chesterton, 'the realization of an ideal, that which is promised in its provocative and beckoning map; a vision not only of white skeletons but also green palm trees and sapphire seas.' G. S. Fraser terms it 'an utterly original book' and goes on to write: 'There will always be a place for stories like Treasure Island that can keep boys and old men happy.'
...more
",295
18,"
The illustrations for this series were created by Scott McKowen, who, with his wife Christina Poddubiuk, operates Punch & Judy Inc., a company specializing in design and illustration for theater and performing arts. Their projects often involve research into the visual aspects of historical settings and characters. Christina is a theater set and costume designer and
The illustrations for this series were created by Scott McKowen, who, with his wife Christina Poddubiuk, operates Punch & Judy Inc., a company specializing in design and illustration for theater and performing arts. Their projects often involve research into the visual aspects of historical settings and characters. Christina is a theater set and costume designer and contributed advice on the period clothing for the illustrations.Scott created these drawings in scratchboard ­ an engraving medium which evokes the look of popular art from the period of these stories. Scratchboard is an illustration board with a specifically prepared surface of hard white chalk. A thin layer of black ink is rolled over the surface, and lines are drawn by hand with a sharp knife by scraping through the ink layer to expose the white surface underneath. The finished drawings are then scanned and the color is added digitally.Sneaky pirates, sailing ships, buried treasure, exotic lands, and murderous mutiny: what could be better to win over even the most reluctant boy reader? Robert Louis Stevenson serves up thrills, chills, and plenty of action in this timeless, and much-admired adventure novel.
...more
",296
19,"
Enriched Classics offer readers accessible editions of great works of literature enhanced by helpful notes and commentary. Each book includes educational tools alongside the text, enabling students and readers alike to gain a deeper and more developed understanding of the writer and their work.Climb aboard for the swashbuckling adventure of a lifetime. Treasure Island has
Enriched Classics offer readers accessible editions of great works of literature enhanced by helpful notes and commentary. Each book includes educational tools alongside the text, enabling students and readers alike to gain a deeper and more developed understanding of the writer and their work.Climb aboard for the swashbuckling adventure of a lifetime. Treasure Island has enthralled (and caused slight seasickness) for decades. The names Long John Silver and Jim Hawkins are destined to remain pieces of folklore for as long as children want to read Robert Louis Stevenson’s most famous book. With its dastardly plot and motley crew of rogues and villains, it seems unlikely that children will ever say no to this timeless classic.Enriched Classics enhance your engagement by introducing and explaining the historical and cultural significance of the work, the author’s personal history, and what impact this book had on subsequent scholarship. Each book includes discussion questions that help clarify and reinforce major themes and reading recommendations for further research.Read with confidence.
...more
",297
20,"
Robert Louis Stevenson’s classic pirate adventure that has thrilled readers for over a hundred years.Masterfully crafted, Treasure Island is a stunning yarn of piracy on the fiery tropic seas—an unforgettable tale of treachery that embroils a host of legendary swashbucklers, from honest young Jim Hawkins, to sinister, two-timing Israel Hands, to evil incarnate, blind Pew.
Robert Louis Stevenson’s classic pirate adventure that has thrilled readers for over a hundred years.Masterfully crafted, Treasure Island is a stunning yarn of piracy on the fiery tropic seas—an unforgettable tale of treachery that embroils a host of legendary swashbucklers, from honest young Jim Hawkins, to sinister, two-timing Israel Hands, to evil incarnate, blind Pew. But above all, Treasure Island is a complex study of good and evil, as embodied by that hero-villain Long John Silver, the merrily unscrupulous buccaneer-rogue whose greedy quest for gold cannot help but win the heart of every soul who ever longed for romance, treasure, and adventure.
...more
",298
21,"
Unrivaled in literature, Stevenson's Treasure Island is among the most delightful adventure romances of all time. From young Jim Hawkins' first encounter with an old buccaneer and his tresure map to the final daring skirmish with the treacherous pirate Long John Silver, this classic work enchants and fuels the imagination with beautiful illustrations.
",299
22,"
The narrator of this timeless adventure story is the lad, Jim Hawkins, whose mother keeps the Admiral Benbow, an inn on the west coast of England in the 18th century. An old buccaneer takes up residence at the inn. He has in his sea chest a map to the hiding place of Captain Flint's treasure.A gang of cutthroats are determined to get his treasure map, and - led by the
The narrator of this timeless adventure story is the lad, Jim Hawkins, whose mother keeps the Admiral Benbow, an inn on the west coast of England in the 18th century. An old buccaneer takes up residence at the inn. He has in his sea chest a map to the hiding place of Captain Flint's treasure.A gang of cutthroats are determined to get his treasure map, and - led by the sinister, blind pirate, Pew - descend on the inn. But Jim Hawkins outwits them, grabs the map, and delivers it to Squire Trelawney. The Squire and his friend Dr. Livessy set off for Treasure Island in the schooner Hispaniola, taking Jim with them. Some of the crew are the squire's faithful servants, but the majority are buccaneers recruited by the one-legged pirate, Long John Silver.Jim discovers the pirates' plan to seize the ship and kill the squire's party, but warns them in time. After a series of thrilling fights and adventures, the pirates are finally defeated, and the treasure secured with the help of marooned pirate, Ben Gunn.
...more
",300
23,"
Perhaps Stevenson's best-known work, this adventure novel set in the eighteenth century is inspired by the actual exploits of pirate Captain Kidd and the search for his buried treasure. For pure imaginative delight, Treasure Island is unsurpassed. From the moment young Jim Hawkins meets the blind pirate Pew at the Admiral Benbow inn, to the spirited battle for hidden
Perhaps Stevenson's best-known work, this adventure novel set in the eighteenth century is inspired by the actual exploits of pirate Captain Kidd and the search for his buried treasure. For pure imaginative delight, Treasure Island is unsurpassed. From the moment young Jim Hawkins meets the blind pirate Pew at the Admiral Benbow inn, to the spirited battle for hidden treasure on a tropical island, the novel spawns unforgettable scenes and characters that have thrilled young and old for more than a century. Stevenson's romance is noted for its swift, clearly-depicted action, its memorable character types--especially of Long John Silver--and its sustained atmosphere of menace. A story of a classic battle between good and evil, it illustrates one young boy's rite of passage into the dangerous world of mature responsibilities.
...more
",301
24,"
For generations, readers have enjoyed classic literature. They have delighted in the romance of Jane Austen, thrilled at the adventures of Jules Verne, and pondered the lessons of Aesop. Introduce young readers to these familiar volumes with Great Illustrated Classics. In this series, literary masterworks have been adapted for young scholars. Large, easy-to-read type and
For generations, readers have enjoyed classic literature. They have delighted in the romance of Jane Austen, thrilled at the adventures of Jules Verne, and pondered the lessons of Aesop. Introduce young readers to these familiar volumes with Great Illustrated Classics. In this series, literary masterworks have been adapted for young scholars. Large, easy-to-read type and charming pen-and-ink drawings enhance the text. Students are sure to enjoy becoming acquainted with traditional literature through these well-loved classics.
...more
",302
25,"
These novels of pirates on the high seas and intrigue in the Scottish highlands were written on a challenge by Stevenson's teenage stepson to ""write something really interesting."" The results are these fast-moving and adventurous books, simple and entertaining.
",303
26,"
A beautiful young woman stands poised over the gambling tables in an expensive hotel. She is aware of, and resents, the gaze of an unusual young man, a stranger, who seems to judge her, and find her wanting. The encounter will change her life.The strange young man is Daniel Deronda, brought up with his own origins shrouded in mystery, searching for a compelling outlet for
A beautiful young woman stands poised over the gambling tables in an expensive hotel. She is aware of, and resents, the gaze of an unusual young man, a stranger, who seems to judge her, and find her wanting. The encounter will change her life.The strange young man is Daniel Deronda, brought up with his own origins shrouded in mystery, searching for a compelling outlet for his singular talents and remarkable capacity for empathy. Deronda's destiny will change the lives of many.
...more
",304
27,"
Subtitled ""An Attempt to Appreciate Daniel Deronda"" this 1888 study, published in Germany by a Jewish scholar, praised Eliot's sympathetic understanding of Judaism in her novel.
",305
28,"
George Eliot's notebooks from the years 1872-77 reveal her acquisition of a wide range of learning about Judaism, and provide insight into the creative process of integrating that learning into her last novel, Daniel Deronda. One of the notebooks is published here for the first time; others are offered in new transcriptions. Translations are provided for the notes in
George Eliot's notebooks from the years 1872-77 reveal her acquisition of a wide range of learning about Judaism, and provide insight into the creative process of integrating that learning into her last novel, Daniel Deronda. One of the notebooks is published here for the first time; others are offered in new transcriptions. Translations are provided for the notes in German, French, Italian, Greek and Hebrew; explanatory headnotes are supplied, and interpretative links are made to the novel; primary sources are traced and the chronology of Eliot's reading outlined.
...more
",306
29,"
Theodora. She reads well when she chooses, but I am sorry to say that in some of the fine passages of this last book she took quite a false tone. I couldn't have read them aloud, myself; I should have broken down. But Pulcheria, ---would you really believe it?---when she couldn't go on, it was not for tears, but for---the contrary.
",307
30,"
George Eliot was considered one of the greatest writers of the Victorian era and in this classic 1876 work, the last that she had completed, we find the only novel set in that era. ""Daniel Deronda"" begins by exploring the romantic relationship of its title character with Gwendolen Harleth and then through two separate flashbacks explores the history of the two characters.
George Eliot was considered one of the greatest writers of the Victorian era and in this classic 1876 work, the last that she had completed, we find the only novel set in that era. ""Daniel Deronda"" begins by exploring the romantic relationship of its title character with Gwendolen Harleth and then through two separate flashbacks explores the history of the two characters. The novel, which was controversial for its exploration of the Jewish Zionist movement, is a mixture of social satire and an exploration of the morality of Victorian society. ""Daniel Deronda"" remains one of Eliot's most popular works and is an excellent example of the author's immense literary talent.
...more
",309
31,"
Explore the development of jazz music with JAZZ: THE FIRST 100 YEARS with accompanying audio CD! From its nineteenth-century roots in blues and ragtime, through swing and bebop, to fusion and contemporary jazz styles, this music text gives you a true feel for the vibrant, ever-changing sound of jazz. Learning is made easy with The Audio Jazz Primer CD that allows you to
Explore the development of jazz music with JAZZ: THE FIRST 100 YEARS with accompanying audio CD! From its nineteenth-century roots in blues and ragtime, through swing and bebop, to fusion and contemporary jazz styles, this music text gives you a true feel for the vibrant, ever-changing sound of jazz. Learning is made easy with The Audio Jazz Primer CD that allows you to hear the key terms, basic music concepts, and jazz instruments discussed in the book. Key terms, topics for discussion, and the jazz basics appendix help you master difficult concepts.
...more
",310
32,"
A complete jazz course at one unbeatable price, ESSENTIAL JAZZ, THE FIRST 100 YEARS and its complete listening package explores the development of jazz from its nineteenth-century roots in ragtime and blues, through swing and bebop, to fusion and contemporary jazz styles. Unique in its up-to-date coverage, ESSENTIAL JAZZ devotes a full third of its length to performers of
A complete jazz course at one unbeatable price, ESSENTIAL JAZZ, THE FIRST 100 YEARS and its complete listening package explores the development of jazz from its nineteenth-century roots in ragtime and blues, through swing and bebop, to fusion and contemporary jazz styles. Unique in its up-to-date coverage, ESSENTIAL JAZZ devotes a full third of its length to performers of the 1960s to the present day. Extensive, accessible Listening Guides tie the history of jazz music directly to the CD selections, giving newcomers and aficionados alike a true feel for the vibrant, ever-changing sound of jazz. Free with every book, two CDs include all the musical examples from the text, as well as an ""Audio Jazz Primer"" that allow you to hear the key terms, basic music concepts, and jazz instruments discussed in the book.
...more
",311
33,"
From the early pioneers to the latest spaceflight technology, this groundbreaking book charts the inspirational story behind humankind's conquest of the skies. In the 100 years since the Wright brothers' first powered flight, aviation has witnessed many memorable events. From record-breaking flights and aerial warfare, to advances in aircraft design and the race for space,
From the early pioneers to the latest spaceflight technology, this groundbreaking book charts the inspirational story behind humankind's conquest of the skies. In the 100 years since the Wright brothers' first powered flight, aviation has witnessed many memorable events. From record-breaking flights and aerial warfare, to advances in aircraft design and the race for space, Flight covers the most memorable moments in the history of aviation. Describing the feats of the brave men and women who piloted the early flying machines, to the pioneers of long-distance flight and the test pilots who ushered in the jet age, Flight is a gripping narrative of humankind's quest to conquer the skies and explore space. Loaded with spectacular full-color photographs, dramatic first-hand accounts, and fact-filled profiles on a huge range of aircraft, this is an enthralling account of a century of innovation and adventure.
...more
",312
34,"
Ginzburg compiles vivid newspaper accounts from 1886 to 1960 to provide insight and understanding of the history of racial violence.
",313
35,"
What a difference 100 years has made! Back at the turn of the century there were no televisions, airplanes, computers, plastics, movies with sound, or space travel; there were only about 8,000 automobiles in the whole country. Just turning on a light switch was a new experience. In 58 tantalizing questions and answers, author Ann McGovern gives readers a fascinating look
What a difference 100 years has made! Back at the turn of the century there were no televisions, airplanes, computers, plastics, movies with sound, or space travel; there were only about 8,000 automobiles in the whole country. Just turning on a light switch was a new experience. In 58 tantalizing questions and answers, author Ann McGovern gives readers a fascinating look at life in New York City at the end of the 19th century-where the rich and poor lived, how they dressed, traveled, dined, and entertained themselves, what kind of work they did. Readers may be surprised to learn that many children had to work for a living in horrendous conditions, that school were often inadequate and overcrowded (there could be 100 or more students in a single classroom), and that bicycling was the most popular sport in the country. (Baseball, cowling, tennis, football, boxing, golf, archery, and skating were also popular. Basketball and volleyball were new.) Together, the text and art are filled with details that bring the era to life for young readers.
...more
",314
36,"
The National Museum of Forest Service History presents a charming cookbook that celebrates decades of camp cooking by countless Forest Service agents in the field.
",315
37,"
SPANISH EDITION. The amazing growth of the Pentecostal/Charismatic movement during the 20th century has no parallel in the history of the church.
",317
38,"
A startling 21st century detailed prophecy recorded in October 1997! Gain important prophetic ""inside information"" about 57 nations: read about upcoming revivals, wars, economic conditions, miracles, weather patterns, population shifts, natural disasters, investments, gavernments, world religions, plus much, much more!
",318
39,"
Celebrate the birth, development, and success of The Walt Disney Company year by magical year -- now updated and available in paperback. Disney: The First 100 Years explores the Disney story -- the story of a man, a family, and a company. You'll meet the people who helped Walt make his dreams come true, see a museum's worth of classic photos, and participate in the opening
Celebrate the birth, development, and success of The Walt Disney Company year by magical year -- now updated and available in paperback. Disney: The First 100 Years explores the Disney story -- the story of a man, a family, and a company. You'll meet the people who helped Walt make his dreams come true, see a museum's worth of classic photos, and participate in the opening day of the most famous tourist attraction on the planet -- Walt Disney World -- plus just about every significant event in between. If you hve ever wished up on a star, whistled while you worked, or believed that elephants could fly, you will undoubtedly consider this magical journey through the past Disney-filled century supercalifragilisticexpialidociously exhilarating!
...more
",319
40,"
The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""
",320
41,"
This history of a family is an amalgamation of Garcia Marquez's shorter fiction, American fiction, biblical parables, and quixotic experiences of his own unique life story. His is a community crowded with people and personal narratives, confusion, and progressive decline. The novel is a journey through life, caught on paper, so real that you'll swear you can smell it.
",321
42,"
«Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo.» Con estas palabras empieza una novela ya legendaria en los anales de la literatura universal, una de las aventuras literarias más fascinantes del siglo xx. Millones de ejemplares de Cien años de soledad
«Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo.» Con estas palabras empieza una novela ya legendaria en los anales de la literatura universal, una de las aventuras literarias más fascinantes del siglo xx. Millones de ejemplares de Cien años de soledad leídos en todas las lenguas y el premio Nobel de literatura coronando una obra que se había abierto paso «boca a boca» -como gusta decir el escritor- son la más palpable demostración de que la aventura fabulosa de la familia Buendía-Iguarán, con sus milagros, fantasías, obsesiones, tragedias, incestos, adulterios, rebeldías, descubrimientos y condenas, representaba al mismo tiempo el mito y la historia, la tragedia y el amor del mundo entero.
...more
",322
43,"
Written in an easy-to-read, accessible style by teachers with years of classroom experience, Masterwork Studies are guides to the literary works most frequently studied in high school. Presenting ideas that spark imaginations, these books help students to gain background knowledge on great literature useful for papers and exams. The goal of each study is to encourage
Written in an easy-to-read, accessible style by teachers with years of classroom experience, Masterwork Studies are guides to the literary works most frequently studied in high school. Presenting ideas that spark imaginations, these books help students to gain background knowledge on great literature useful for papers and exams. The goal of each study is to encourage creative thinking by presenting engaging information about each work and its author. This approach allows students to arrive at sound analyses of their own, based on in-depth studies of popular literature.Each volume:-- Illuminates themes and concepts of a classic text-- Uses clear, conversational language-- Is an accessible, manageable length from 140 to 170 pages-- Includes a chronology of the author's life and era-- Provides an overview of the historical context-- Offers a summary of its critical reception-- Lists primary and secondary sources and index
...more
",323
44,"
El libro se compone de 20 capítulos no titulados, en los cuales se narra una historia con una estructura cíclica temporal, ya que los acontecimientos del pueblo y de la familia Buendía, así como los nombres de los personajes se repiten una y otra vez, fusionando la fantasía con la realidad. En los tres primeros capítulos se narra el éxodo de un grupo de familias y el
El libro se compone de 20 capítulos no titulados, en los cuales se narra una historia con una estructura cíclica temporal, ya que los acontecimientos del pueblo y de la familia Buendía, así como los nombres de los personajes se repiten una y otra vez, fusionando la fantasía con la realidad. En los tres primeros capítulos se narra el éxodo de un grupo de familias y el establecimiento del pueblo de Macondo, desde el capítulo 4 hasta el 16 se trata el desarrollo económico, político y social del pueblo y los últimos cuatro capítulos narran su decadencia.
...more
",324
45,"
Cien años de soledad ,convertida en poco tiempo en un clásico de la moderna literatura en castellano,ofrece una aventura de lectura insustituíble.Proyectada como una descripción de la vida familiar de la casa donde transcurrió la infancia de García Márquez,poco a poco, se convierte en una fabulación mágica,en morada de unos personajes ya legendarios inscritos en los mitos
Cien años de soledad ,convertida en poco tiempo en un clásico de la moderna literatura en castellano,ofrece una aventura de lectura insustituíble.Proyectada como una descripción de la vida familiar de la casa donde transcurrió la infancia de García Márquez,poco a poco, se convierte en una fabulación mágica,en morada de unos personajes ya legendarios inscritos en los mitos profundos de la cultura universal.En Macondo conviven lo real y lo cotidiano con lo poético y lo imaginario.
...more
",325
46,"
(Book Jacket Status: Jacketed)The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""
",326
